gene_ID	gene_name	difference	significant	logpval
TF	TF	0.0573312568463115	+	4.55248217708079
ANXA1	ANXA1	0.458474096052278	+	4.54534839604211
SPRY4	SPRY4	0.565646643919471	+	4.52302884378734
ARHGAP28	ARHGAP28	0.554526599110682	+	4.51204332167719
NAT10	NAT10	1.81812001512791	+	4.43163436045305
CFI	CFI	0.199294448542857	+	4.35126362597844
SHANK2	SHANK2	0.603661213777263	+	4.32516722570114
DCLK1	DCLK1	1.90585625491617	+	4.28697896667353
RRBP1	RRBP1	0.605424857386266	+	4.12754307107214
SMARCB1	SMARCB1	4.03733568364471	+	4.11149468016455
CRMP1	CRMP1	1.60679781033205	+	4.11106057656188
PDLIM1	PDLIM1	0.656260362756852	+	4.02857769576158
PCDH7	PCDH7	0.624152993076325	+	4.02064194485161
TAGLN	TAGLN	0.627482300026822	+	4.01571727963983
TUBB3	TUBB3	1.61687244809772	+	3.97837305718341
SEMA3C	SEMA3C	0.672700959120082	+	3.96888703149383
HPX	HPX	0.0716415401818192	+	3.96520228058742
LAMC1	LAMC1	0.473188261063469	+	3.91969628230312
AKAP1	AKAP1	1.57994783402062	+	3.86116186920654
FAM129B	FAM129B	0.487168370234996	+	3.85754999666649
ABHD10	ABHD10	1.43506619329877	+	3.83179643791674
FLNB	FLNB	0.584157962574893	+	3.82256586914334
KCTD1	KCTD1	1.4511189765724	+	3.77605017571574
ITIH4	ITIH4	0.0898278949160228	+	3.76454681037583
AKAP12	AKAP12	0.699016769246978	+	3.76157502941985
CKB	CKB	1.51417859154033	+	3.75283716392049
CDC42EP1	CDC42EP1	0.648719209112091	+	3.67891458408185
CALD1	CALD1	0.632891982373789	+	3.64915823134405
ANXA2	ANXA2	0.704780410884294	+	3.62545572541161
TLE4	TLE4	1.38592729877902	+	3.60366482412264
KIAA1462	KIAA1462	0.49195242284614	+	3.5694810102717
ARHGAP1	ARHGAP1	0.709769912477449	+	3.54352880199815
PAK1	PAK1	1.36580184553021	+	3.52529092682937
GPC3	GPC3	0.67519504958759	+	3.51446031574771
FAM122A	FAM122A	0.729018087764488	+	3.50988414798312
DPYSL5	DPYSL5	1.33510916566141	+	3.49867493668853
POLR2G	POLR2G	0.528653447390794	+	3.48573178217334
SLC3A2	SLC3A2	0.713304440876429	+	3.47391457519896
RFC2	RFC2	1.39414418825092	+	3.46611444171511
ACTN1	ACTN1	0.759242225612488	+	3.41381530335517
LMNA	LMNA	0.692751171407424	+	3.37624600916018
PHACTR4	PHACTR4	1.47709837971415	+	3.37472771235237
STK10	STK10	0.748842327873341	+	3.33505437839808
CRABP1	CRABP1	0.769839895495443	+	3.32539400425149
LAMB1	LAMB1	0.517469233751626	+	3.29940635335751
CTNND2	CTNND2	1.41937007276615	+	3.28406220070942
COL2A1	COL2A1	0.644706599738121	+	3.28245780478245
P4HA1	P4HA1	0.726948682205783	+	3.25796193838199
NEFL	NEFL	1.80313018866567	+	3.25482126922736
LIMCH1	LIMCH1	0.692178448137371	+	3.25408701324654
FAM53C	FAM53C	2.03554064378484	+	3.2347033280302
PTN	PTN	0.784769399794318	+	3.23388375621733
ZFHX3	ZFHX3	1.31497300530608	+	3.22821784544407
EPHA2	EPHA2	0.736254989167769	+	3.21141103694021
FAM65A	FAM65A	0.794153507361107	+	3.21059669069818
UBE2O	UBE2O	0.785748780098239	+	3.20006556716655
TLN1	TLN1	0.79666178623514	+	3.18041429225996
TACC2	TACC2	0.774387501551436	+	3.17946235918026
DSTN	DSTN	0.721266561459466	+	3.17709935510753
S100A13	S100A13	0.687135483007453	+	3.16945493073834
CDV3	CDV3	0.771312306849573	+	3.16792220042203
SPRY1	SPRY1	0.562221878660964	+	3.16773814566028
SKI	SKI	1.27098415033978	+	3.15311055367123
ARPC5	ARPC5	0.652726108323343	+	3.15228899630708
MYH9	MYH9	0.776533301176549	+	3.14996463518959
NEFM	NEFM	1.377540314265	+	3.13069731329269
CTNNAL1	CTNNAL1	0.789050910676517	+	3.12956303677158
DCHS1	DCHS1	0.703467735172512	+	3.1281740496937
ACD	ACD	1.43634142268223	+	3.11120091470161
ECT2	ECT2	0.299563279800766	+	3.07977513220388
PLS3	PLS3	0.753992945825474	+	3.0769053410375
PDZRN3	PDZRN3	1.47136563693536	+	3.07230168071982
