Gene.names	log2ratio	pValue
ZFHX3	0.578635708014101	0.000935425586842529
ISLR2	0.844945166690344	0.00507115980410216
MBOAT7	0.694606028624708	0.00507115980410216
BDH2	0.828338804763327	0.00579088672106258
ACTR1B	-1.87741644285377	0.00681245188799579
ATXN2	1.29761952267611	0.00681245188799579
ACSF2	0.79109444418393	0.00837255316515492
PYM1	0.717896195831713	0.00837255316515492
SEC61A2	0.601691950973038	0.00837255316515492
EDF1	0.775023731973082	0.00837255316515492
STARD3NL	0.568577992527306	0.00837255316515492
EIF3J	0.672764564732116	0.00837255316515492
ANXA5	-0.665870267266651	0.00837255316515492
VPS29	0.541926503298459	0.00837255316515492
GTF2F1	0.46598548614989	0.00837255316515492
DTD1	0.581439538773544	0.00837255316515492
CDKN2AIP	0.794528047255373	0.00837255316515492
UFC1	0.553502902742132	0.00837255316515492
KPNA6	0.617934441448	0.00837255316515492
WHSC1	0.490482522271147	0.00857851257955262
SUMO1	0.685524794997132	0.00857851257955262
IRGQ	0.424389819366446	0.00857851257955262
PHYHIPL	0.6231473054421	0.00857851257955262
EIF2S1	0.404001812596668	0.00857851257955262
TF	0.64388615430023	0.00857851257955262
SACM1L	0.516323404293672	0.00857851257955262
NAPB	0.443639442226814	0.00857851257955262
CA2	-0.543547821608552	0.00857851257955262
THUMPD1	0.548791063746137	0.00857851257955262
PRDX1	0.5526760863745	0.00857851257955262
RPS11	0.496484743950219	0.00857851257955262
LNPK	0.494751646584294	0.00857851257955262
ILVBL	-0.755730307482789	0.00857851257955262
DSTN	0.657744602741793	0.00857851257955262
SUCLA2	0.510020621073618	0.00857851257955262
TALDO1	0.356183787084785	0.00857851257955262
DHCR7	0.381652536360491	0.00857851257955262
STK39	-0.498627433414459	0.00857851257955262
UBE2M	0.532497944731521	0.00875880296768033
COX6C	0.498866404982909	0.0093360955885424
VPS51	-0.680762433592086	0.00961486393507279
MACF1	0.363056180778386	0.00992924197564711
TUBB3	-2.07003551514039	0.0102345356405792
AGK	-0.590990820115682	0.0102345356405792
CDK9	0.458851229293987	0.0102345356405792
ZNF428	0.56618281452921	0.0102345356405792
SRRT	0.408455964917366	0.0102345356405792
GSTM3	0.297916605550679	0.0102345356405792
CETN2	-0.516618109622556	0.0117888855766466
RPS3A	0.413584715751711	0.0117888855766466
RPL31	0.590444165210556	0.0117888855766466
BUD31	0.548548463252953	0.0117888855766466
DLGAP4	0.473759724406975	0.0117888855766466
LANCL2	0.439142438154086	0.0117888855766466
IGF2R	0.45903625812883	0.0117888855766466
PPP1R18	0.508317327520782	0.0117888855766466
GMPPA	0.512386103837368	0.0117888855766466
HNRNPK	-3.866973501431	0.0117888855766466
RPL7	0.312756299598004	0.0117888855766466
NKRF	0.577505350185916	0.0119211858708315
NAP1L4	0.338658999539025	0.0119211858708315
USO1	0.416727612182697	0.0119211858708315
POLR2A	0.525653930123489	0.0119211858708315
UBE2V2	0.816400894142557	0.0119211858708315
SMS	-0.925570869034662	0.0119211858708315
LTA4H	0.33671301554978	0.0119211858708315
PAK1	0.45638633923463	0.0119211858708315
MID1	0.372038145104039	0.0119211858708315
GRB2	0.530701653289629	0.0119211858708315
VIRMA	-0.673369362133112	0.0127761304235685
UBE2E3	0.991350921010049	0.0127761304235685
PRPF6	0.374247630800056	0.0127761304235685
POP1	0.497672000615065	0.0127761304235685
GDAP1	0.447961138108017	0.0127761304235685
HAGH	0.461348486254909	0.0127761304235685
TERF2IP	0.34981104073869	0.0127761304235685
DDX24	0.437235387309904	0.0132061172512371
CHMP1A	0.68146138552693	0.0132183528273276
EIF4A3	0.456044417932862	0.0133825991894695
PCNP	0.822058548074025	0.0133825991894695
SEC16A	0.434306287720403	0.0140961043663746
ANP32E	-0.879433911573656	0.0140961043663746
HSPD1	-0.458211178588829	0.0142462310629065
PRKAR2B	-0.442541452334261	0.014485642504957
NDUFA10	0.346213867049471	0.0145837668335424
CARM1	0.383577368605348	0.0145837668335424
KLC1	0.389340334825423	0.0145837668335424
AP3B1	0.501371965362793	0.0145837668335424
RBMX	0.644490455391537	0.0145837668335424
ZRANB2	0.515278392294451	0.0145837668335424
TUBB	-2.23685475861348	0.0145837668335424
CPT2	0.351886510841776	0.0145837668335424
ALDH9A1	0.403448385118597	0.0145837668335424
NCBP3	0.568611668292256	0.0145837668335424
PRPS1	0.467593441772124	0.0145837668335424
BUB3	0.460321478763227	0.0145837668335424
THRAP3	0.469703678428345	0.0145837668335424
RPS16	0.316769379131987	0.0145837668335424
RAB2A	0.358936138805557	0.0145837668335424
FYN	-0.803638683089634	0.0145837668335424
DRG2	-0.464214414065268	0.0145837668335424
ZNF280C	0.585520626714761	0.0145837668335424
PARK7	0.321260806642911	0.0145837668335424
MT-CO2	-0.594064853915373	0.0145837668335424
PSMB5	0.454943067188534	0.0145837668335424
CORO1A	0.571953192704406	0.0145837668335424
CHCHD3	0.572823487203692	0.0145837668335424
FAM120B	0.397479962145741	0.0155236866407468
HDGFL2	0.626207054066086	0.0154291208261043
DKC1	0.414009149857197	0.0155236866407468
TUBA1A	-3.23104437323329	0.0157774369884168
DBT	-0.585503857541358	0.0158072783296145
PSMA3	0.248364857469095	0.0157774369884168
TIMM9	0.836216151435636	0.0157774369884168
DCTN3	0.452729494180854	0.0159823119147359
MMS19	-0.705761819151384	0.0159823119147359
ATP5L	0.37048284352699	0.0162045967888011
CDKN1C	0.891586099105346	0.0162045967888011
RBM14	0.595626620477205	0.0162045967888011
RCN2	-0.559973857121133	0.0162045967888011
AK3	0.381581244153857	0.0162045967888011
RNF214	0.763374382504249	0.0162045967888011
LYPLA2	0.458918955070981	0.0162045967888011
UBE3A	0.457626860808844	0.0162045967888011
YWHAH	0.398005714408114	0.0162045967888011
TIPRL	0.578276513777251	0.0162045967888011
TPP2	0.365460885420379	0.0162045967888011
RPL13	0.340198325526298	0.0162045967888011
DLST	0.324178486806961	0.0162045967888011
SKP1	0.453528018487432	0.0162045967888011
ACBD3	0.321227248496324	0.0162045967888011
DBNL	0.449129152128457	0.0162045967888011
SEC62	0.605763495496209	0.0169154663349208
RPS20	0.38519818964852	0.0162119449822099
GMPPB	0.407015487699123	0.0165238071207682
RPL28	0.526960896078975	0.016580319383063
EEF1A2	-0.864319394698029	0.0167708984981115
AGPAT4	-0.516872900286778	0.0167708984981115
PSMB1	0.294725542691214	0.0167708984981115
RPL23A	0.649632660009601	0.0167708984981115
AHCY	0.303669474083769	0.0167708984981115
ADPRHL2	0.400212797767932	0.0167708984981115
PAFAH1B3	0.371221262553689	0.0167708984981115
ANK3	0.499310676000679	0.0167708984981115
GOLGB1	0.387830733062934	0.0173899520901615
NADK2	0.398626299143071	0.0169154663349208
ATP5J	0.423431981176698	0.0169154663349208
EXOC4	0.597501450976001	0.0169154663349208
MCTS1	-0.596840746101901	0.0169154663349208
PALM	0.703493989441974	0.0169154663349208
C20orf27	0.556384381424866	0.0175951273079163
ARCN1	0.428590370355035	0.0175951273079163
OSGEP	0.468159741497573	0.0175951273079163
THOC1	0.474963758118633	0.0185257463739241
SARNP	0.571713535394963	0.0175951273079163
PSMD13	0.259343211347403	0.0175951273079163
PRKRA	0.438718516811999	0.0175951273079163
