genename	fold-change	P.Value	name
MCTS1	0.753	0.000616492	Malignant T-cell-amplified sequence 1 (MCT-1) (Multiple copies T-cell malignancies)
MESD	1.366	0.000644127	LRP chaperone MESD (LDLR chaperone MESD) (Mesoderm development LRP chaperone MESD) (Mesoderm development candidate 2) (Mesoderm development protein) (Renal carcinoma antigen NY-REN-61)
RNF20	1.37	0.000734235	E3 ubiquitin-protein ligase BRE1A (BRE1-A) (hBRE1) (EC 2.3.2.27) (RING finger protein 20) (RING-type E3 ubiquitin transferase BRE1A)
HADH	0.548	0.001282687	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)
EIF3F	1.252	0.001600665	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)
HMGB2	1.307	0.001696024	High mobility group protein B2 (High mobility group protein 2) (HMG-2)
PSMD10	1.304	0.001776999	"Proteasome 26S subunit, non-ATPase 10"
GLUL	1.37	0.001868877	Glutamine synthetase (EC 6.3.1.2)
SMU1	1.24	0.001883588	"WD40 repeat-containing protein SMU1 (Smu-1 suppressor of mec-8 and unc-52 protein homolog) [Cleaved into: WD40 repeat-containing protein SMU1, N-terminally processed]"
BUD31	1.325	0.002014418	Protein BUD31 homolog (Protein EDG-2) (Protein G10 homolog)
CPSF3	1.245	0.002059145	Cleavage and polyadenylation specific factor 3
ZMPSTE24	0.728	0.001772459	CAAX prenyl protease 1 homolog (EC 3.4.24.84) (Farnesylated proteins-converting enzyme 1) (FACE-1) (Prenyl protein-specific endoprotease 1) (Zinc metalloproteinase Ste24 homolog)
EIF2A	1.311	0.002151459	"Eukaryotic translation initiation factor 2A (eIF-2A) (65 kDa eukaryotic translation initiation factor 2A) [Cleaved into: Eukaryotic translation initiation factor 2A, N-terminally processed]"
ACBD3	1.287	0.002161303	"Golgi resident protein GCP60 (Acyl-CoA-binding domain-containing protein 3) (Golgi complex-associated protein 1) (GOCAP1) (Golgi phosphoprotein 1) (GOLPH1) (PBR- and PKA-associated protein 7) (Peripheral benzodiazepine receptor-associated protein PAP7) [Cleaved into: Golgi resident protein GCP60, N-terminally processed]"
ALYREF	1.271	0.002608838	THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF)
TXLNA	1.345	0.003107891	Alpha-taxilin
LAMP1	1.379	0.003254662	Lysosome-associated membrane glycoprotein 1 (LAMP-1) (Lysosome-associated membrane protein 1) (CD107 antigen-like family member A) (CD antigen CD107a)
NAT10	0.65	0.003696551	RNA cytidine acetyltransferase (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase) (N-acetyltransferase 10) (N-acetyltransferase-like protein) (hALP)
EDF1	1.344	0.003778367	Endothelial differentiation-related factor 1 (EDF-1) (Multiprotein-bridging factor 1) (MBF1)
TIMM13	1.459	0.003317149	Mitochondrial import inner membrane translocase subunit Tim13
GORASP2	1.23	0.003899739	Golgi reassembly-stacking protein 2 (GRS2) (Golgi phosphoprotein 6) (GOLPH6) (Golgi reassembly-stacking protein of 55 kDa) (GRASP55) (p59)
ATP6V1G1	1.306	0.003906124	V-type proton ATPase subunit G 1 (V-ATPase subunit G 1) (V-ATPase 13 kDa subunit 1) (Vacuolar proton pump subunit G 1) (Vacuolar proton pump subunit M16)
