protein	logFC	AveExpr	t	P.Value	adj.P.Val	B	significant	ngood	query	name	symbol
P17677	-0.674480122936483	-0.674480122936484	-20.598684048969	8.78386022887549e-05	0.0353690915776912	2.46476432864202	TRUE	3	P17677	Neuromodulin (Axonal membrane protein GAP-43) (Growth-associated protein 43) (Neural phosphoprotein B-50) (pp46)	GAP43
Q16352	-0.716901672771338	-0.716901672771337	-20.1246896432839	9.52523989337518e-05	0.0353690915776912	2.40277063441961	TRUE	3	Q16352	Alpha-internexin (Alpha-Inx) (66 kDa neurofilament protein) (NF-66) (Neurofilament-66) (Neurofilament 5)	INA
Q9Y3E1	-1.71325205311404	-1.71325205311404	-20.0503225944962	9.64875285526677e-05	0.0353690915776912	2.39280781561819	TRUE	3	Q9Y3E1	Hepatoma-derived growth factor-related protein 3 (HRP-3) (Hepatoma-derived growth factor 2) (HDGF-2)	HDGFL3
E9PM62	0.802918423844897	0.802918423844897	18.209530499284	0.000134866800438282	0.0353690915776912	2.1238510416112	TRUE	3	E9PM62	Wnt ligand secretion mediator	WLS
E7ESP9	-0.662171267279589	-0.662171267279589	-16.3851827868132	0.000194561696457382	0.0353690915776912	1.8082928323038	TRUE	3	E7ESP9	Neurofilament medium polypeptide (160 kDa neurofilament protein) (Neurofilament 3) (Neurofilament triplet M protein)	NEFM
J3KQA0	-0.610957222982327	-0.610957222982327	-16.2426782438026	0.000200544850555606	0.0353690915776912	1.78126440806284	TRUE	3	J3KQA0	Synaptotagmin	SYT1
G3XAH0	-0.514821550127903	-0.514821550127903	-15.3344819873044	0.000244790003616326	0.0353690915776912	1.5999118661201	TRUE	3	G3XAH0	Septin	SEPTIN5
D6RG39	-0.636000171766637	-0.636000171766637	-15.168858065327	0.00025416853823635	0.0353690915776912	1.56505522779672	TRUE	3	D6RG39	OCIA domain-containing protein 1	OCIAD1
P32004	-0.673440490358973	-0.673440490358973	-15.1000134708005	0.000258202296015869	0.0353690915776912	1.55039654442346	TRUE	3	P32004	Neural cell adhesion molecule L1 (N-CAM-L1) (NCAM-L1) (CD antigen CD171)	L1CAM
B1AMS2	-0.553975777721361	-0.553975777721361	-14.426680718742	0.000302336919464161	0.0353690915776912	1.40155698709238	TRUE	3	B1AMS2	Septin	SEPTIN6
A0A0D9SF30	-0.894257110036614	-0.894257110036614	-14.395271959802	0.000304623549296637	0.0353690915776912	1.39436349444968	TRUE	3	A0A0D9SF30	Neural cell adhesion molecule 1	NCAM1
P07196	-0.646301575806417	-0.646301575806417	-13.4429078719913	0.000385858448500572	0.0353690915776912	1.16482511493651	TRUE	3	P07196	Neurofilament light polypeptide (NF-L) (68 kDa neurofilament protein) (Neurofilament triplet L protein)	NEFL
